date,game_no,vis,home,,temp,wind_speed,conditions,percip
4/27/1990,0,TOR,CHA,329900TORCHA,81,24,night,no precipitation
4/27/1990,0,MON,CIN,329900MONCIN,null,null,night,no precipitation
4/27/1990,0,MIN,CLE,329900MINCLE,65,null,null,null
4/27/1990,0,MIL,DET,329900MILDET,82,11,night,no precipitation
4/27/1990,0,NYN,HOU,329900NYNHOU,72,0,in dome,null
4/27/1990,0,TEX,KCA,329900TEXKCA,48,null,night,null
4/27/1990,0,CHN,LAN,329900CHNLAN,null,null,night,no precipitation
4/27/1990,0,ANA,NYA,329900CALNYA,80,null,night,no precipitation
4/27/1990,0,PIT,SDN,329900PITSDN,null,null,unknown,null
4/27/1990,0,SLN,SFN,329900SLNSFN,62,null,night,no precipitation
4/28/1990,0,PHI,ATL,329910PHIATL,75,null,night,no precipitation
4/28/1990,0,SEA,BAL,329910SEABAL,90,8,night,no precipitation
4/28/1990,0,OAK,BOS,329910OAKBOS,90,null,sunny,no precipitation
4/28/1990,0,TOR,CHA,329910TORCHA,null,null,night,no precipitation
4/28/1990,0,MON,CIN,329910MONCIN,74,null,overcast,no precipitation
4/28/1990,0,MIN,CLE,329910MINCLE,76,null,null,null
4/28/1990,0,MIL,DET,329910MILDET,72,null,night,no precipitation
4/28/1990,0,NYN,HOU,329910NYNHOU,72,0,in dome,null
4/28/1990,0,TEX,KCA,329910TEXKCA,57,15,sunny,no precipitation
4/28/1990,0,CHN,LAN,329910CHNLAN,null,null,night,no precipitation
4/28/1990,0,ANA,NYA,329910CALNYA,90,null,sunny,no precipitation
4/28/1990,0,PIT,SDN,329910PITSDN,65,null,night,no precipitation
4/28/1990,0,SLN,SFN,329910SLNSFN,null,null,sunny,no precipitation
4/29/1990,0,PHI,ATL,329920PHIATL,85,null,sunny,no precipitation
4/29/1990,0,SEA,BAL,329920SEABAL,65,15,overcast,no precipitation
4/29/1990,0,OAK,BOS,329920OAKBOS,45,null,overcast,drizzle
4/29/1990,0,TOR,CHA,329920TORCHA,56,null,sunny,no precipitation
4/29/1990,0,MON,CIN,329920MONCIN,62,null,cloudy,null
4/29/1990,0,MIN,CLE,329920MINCLE,70,null,sunny,no precipitation
4/29/1990,0,MIL,DET,329920MILDET,65,null,null,null
4/29/1990,0,NYN,HOU,329920NYNHOU,null,null,in dome,null
4/29/1990,0,TEX,KCA,329920TEXKCA,69,10,cloudy,no precipitation
4/29/1990,0,CHN,LAN,329920CHNLAN,60,null,night,no precipitation
4/29/1990,0,ANA,NYA,329920CALNYA,55,20,overcast,rain
4/29/1990,0,PIT,SDN,329920PITSDN,65,null,overcast,drizzle
4/29/1990,0,SLN,SFN,329920SLNSFN,60,null,sunny,no precipitation
4/30/1990,0,NYN,ATL,329930NYNATL,null,null,night,no precipitation
4/30/1990,0,ANA,BAL,329930CALBAL,65,null,night,no precipitation
4/30/1990,0,SEA,BOS,329930SEABOS,38,null,night,rain
4/30/1990,0,TEX,CHA,329930TEXCHA,60,14,night,no precipitation
4/30/1990,0,PHI,CIN,329930PHICIN,65,null,night,no precipitation
4/30/1990,0,TOR,CLE,329930TORCLE,null,null,night,no precipitation
4/30/1990,0,MIL,DET,329930MILDET,70,null,night,no precipitation
4/30/1990,0,SFN,LAN,329930SFNLAN,null,null,night,no precipitation
4/30/1990,0,HOU,MON,329930HOUMON,72,null,null,no precipitation
4/30/1990,0,OAK,NYA,329930OAKNYA,54,null,night,drizzle
5/1/1990,0,NYN,ATL,329940NYNATL,80,null,night,no precipitation
5/1/1990,0,ANA,BAL,329940CALBAL,77,1,night,no precipitation
5/1/1990,0,SEA,BOS,329940SEABOS,54,null,overcast,no precipitation
5/1/1990,0,TEX,CHA,329940TEXCHA,58,13,night,no precipitation
5/1/1990,0,PHI,CIN,329940PHICIN,49,null,overcast,drizzle
5/1/1990,0,TOR,CLE,329940TORCLE,null,null,night,no precipitation
5/1/1990,0,MIN,DET,329940MINDET,61,null,night,no precipitation
5/1/1990,0,MIL,KCA,329940MILKCA,56,0,night,no precipitation
5/1/1990,0,PIT,LAN,329940PITLAN,60,null,night,no precipitation
5/1/1990,0,HOU,MON,329940HOUMON,null,null,night,no precipitation
5/1/1990,0,OAK,NYA,329940OAKNYA,75,null,night,no precipitation
5/1/1990,0,SLN,SDN,329940SLNSDN,null,null,night,no precipitation
5/1/1990,0,CHN,SFN,329940CHNSFN,55,null,night,no precipitation
5/2/1990,0,ANA,BAL,329950CALBAL,67,15,night,no precipitation
5/2/1990,0,SEA,BOS,329950SEABOS,68,15,night,no precipitation
5/2/1990,0,TEX,CHA,329950TEXCHA,53,13,night,no precipitation
5/2/1990,0,TOR,CLE,329950TORCLE,50,null,night,no precipitation
5/2/1990,0,MIN,DET,329950MINDET,58,null,night,no precipitation
5/2/1990,0,PIT,LAN,329950PITLAN,70,6,night,no precipitation
5/2/1990,0,ATL,MON,329950ATLMON,null,null,in dome,null
5/2/1990,0,OAK,NYA,329950OAKNYA,61,7,night,no precipitation
5/2/1990,0,CIN,NYN,329950CINNYN,60,17,night,no precipitation
5/2/1990,0,HOU,PHI,329950HOUPHI,61,10,night,no precipitation
5/2/1990,0,SLN,SDN,329950SLNSDN,null,null,sunny,no precipitation
5/2/1990,0,CHN,SFN,329950CHNSFN,69,10,sunny,no precipitation
5/3/1990,0,MIN,DET,329960MINDET,58,null,cloudy,no precipitation
5/3/1990,0,MIL,KCA,329960MILKCA,52,12,night,no precipitation
5/3/1990,0,ATL,MON,329960ATLMON,null,null,in dome,null
5/3/1990,0,CLE,NYA,329960CLENYA,75,null,sunny,no precipitation
5/3/1990,0,CIN,NYN,329960CINNYN,65,null,night,no precipitation
5/3/1990,0,HOU,PHI,329960HOUPHI,null,null,cloudy,no precipitation
5/3/1990,0,ANA,SEA,329960CALSEA,68,0,in dome,null
5/4/1990,0,NYA,ANA,329970NYACAL,null,null,night,no precipitation
5/4/1990,0,CHA,KCA,329970CHAKCA,45,null,night,no precipitation
5/4/1990,0,SFN,MON,329970SFNMON,null,null,in dome,null
5/4/1990,0,BOS,OAK,329970BOSOAK,null,null,night,no precipitation
5/4/1990,0,LAN,PHI,329970LANPHI,45,null,night,rain
5/4/1990,0,BAL,SEA,329970BALSEA,null,null,in dome,null
5/4/1990,0,CIN,SLN,329970CINSLN,56,17,night,showers
5/4/1990,0,DET,TOR,329970DETTOR,70,null,in dome,null
5/5/1990,0,NYA,ANA,329980NYACAL,70,null,night,no precipitation
5/5/1990,1,SDN,CHN,329981SDNCHN,55,null,overcast,no precipitation
5/5/1990,2,SDN,CHN,329982SDNCHN,55,null,cloudy,no precipitation
5/5/1990,0,TEX,CLE,329980TEXCLE,45,11,overcast,drizzle
5/5/1990,0,CHA,KCA,329980CHAKCA,null,null,night,drizzle
5/5/1990,0,MIN,MIL,329980MINMIL,58,5,null,null
5/5/1990,0,SFN,MON,329980SFNMON,70,null,in dome,null
5/5/1990,0,HOU,NYN,329980HOUNYN,59,null,overcast,no precipitation
5/5/1990,0,BOS,OAK,329980BOSOAK,null,null,sunny,no precipitation
5/5/1990,0,LAN,PHI,329980LANPHI,60,null,night,no precipitation
5/5/1990,0,BAL,SEA,329980BALSEA,null,null,in dome,null
5/5/1990,0,CIN,SLN,329980CINSLN,68,5,night,no precipitation
5/5/1990,0,DET,TOR,329980DETTOR,null,null,in dome,null
5/6/1990,0,NYA,ANA,329990NYACAL,92,15,sunny,no precipitation
5/6/1990,0,SDN,CHN,329990SDNCHN,null,null,sunny,no precipitation
5/6/1990,1,TEX,CLE,329991TEXCLE,59,5,sunny,no precipitation
5/6/1990,2,TEX,CLE,329992TEXCLE,59,null,sunny,no precipitation
5/6/1990,0,CHA,KCA,329990CHAKCA,71,5,sunny,no precipitation
5/6/1990,0,MIN,MIL,329990MINMIL,54,null,null,null
5/6/1990,0,SFN,MON,329990SFNMON,70,null,in dome,null
5/6/1990,1,HOU,NYN,329991HOUNYN,62,null,cloudy,no precipitation
