date,home_team
5/29/2000,COL
5/29/2000,LAN
5/29/2000,PIT
5/29/2000,SDN
5/29/2000,SFN
5/29/2000,CLE
5/29/2000,DET
5/29/2000,NYA
5/29/2000,SEA
5/29/2000,TBA
6/24/2000,MON
7/4/2000,ATL
7/4/2000,CHN
7/4/2000,ANA
7/4/2000,HOU
7/4/2000,MIL
7/4/2000,SDN
7/4/2000,SFN
7/4/2000,SFN
7/4/2000,SLN
7/4/2000,ANA
7/4/2000,CLE
7/4/2000,KCA
7/4/2000,MIN
7/4/2000,NYA
7/4/2000,TBA
7/4/2000,TEX
9/4/2000,CIN
9/4/2000,COL
9/4/2000,HOU
9/4/2000,LAN
9/4/2000,SDN
9/4/2000,SFN
9/4/2000,SLN
9/4/2000,BOS
9/4/2000,CHA
9/4/2000,CLE
9/4/2000,DET
9/4/2000,KCA
9/4/2000,MIN
9/4/2000,TOR
4/1/2001,TOR
4/2/2001,BAL
4/2/2001,CLE
4/2/2001,NYA
4/2/2001,SEA
4/2/2001,CHN
4/2/2001,CIN
4/2/2001,COL
4/2/2001,ANA
4/2/2001,LAN
4/2/2001,SFN
4/3/2001,DET
4/3/2001,TBA
4/3/2001,TEX
4/3/2001,ATL
4/3/2001,HOU
4/6/2001,BOS
4/6/2001,CHA
4/6/2001,KCA
4/6/2001,OAK
4/6/2001,ARI
4/6/2001,MIL
4/6/2001,MON
4/6/2001,PHI
4/9/2001,MIN
4/9/2001,NYN
4/9/2001,PIT
4/9/2001,SLN
4/10/2001,ANA
4/10/2001,SDN
5/28/2001,BAL
5/28/2001,BOS
5/28/2001,CHA
5/28/2001,DET
5/28/2001,KCA
5/28/2001,TBA
5/28/2001,ATL
5/28/2001,CIN
5/28/2001,LAN
5/28/2001,NYN
5/28/2001,PIT
5/28/2001,SFN
5/28/2001,SLN
7/1/2001,TOR
7/4/2001,BAL
7/4/2001,CHA
7/4/2001,CLE
7/4/2001,DET
7/4/2001,OAK
7/4/2001,TBA
7/4/2001,TEX
7/4/2001,ATL
7/4/2001,CIN
7/4/2001,HOU
7/4/2001,LAN
7/4/2001,MIL
7/4/2001,NYN
7/4/2001,SDN
9/3/2001,CHA
9/3/2001,OAK
9/3/2001,SEA
9/3/2001,TOR
9/3/2001,CIN
9/3/2001,ANA
9/3/2001,MON
9/3/2001,PHI
9/3/2001,PIT
9/3/2001,PIT
9/3/2001,SDN
9/3/2001,SFN
3/31/2002,ANA
4/1/2002,BAL
4/1/2002,BOS
4/1/2002,KCA
4/1/2002,OAK
4/1/2002,SEA
4/1/2002,ARI
4/1/2002,ATL
4/1/2002,CIN
4/1/2002,NYN
4/1/2002,SLN
4/2/2002,TBA
4/2/2002,HOU
4/2/2002,LAN
4/2/2002,MON
4/4/2002,TOR
4/5/2002,DET
4/5/2002,NYA
4/5/2002,TEX
4/5/2002,CHN
4/5/2002,MIL
4/5/2002,PHI
4/5/2002,SFN
4/8/2002,CLE
4/8/2002,COL
4/8/2002,ANA
4/8/2002,PIT
4/8/2002,SDN
4/12/2002,CHA
4/12/2002,MIN
5/27/2002,CHA
5/27/2002,CLE
5/27/2002,TEX
5/27/2002,ATL
5/27/2002,HOU
5/27/2002,LAN
5/27/2002,NYN
5/27/2002,PIT
5/27/2002,SDN
5/27/2002,SFN
7/4/2002,ANA
7/4/2002,BOS
7/4/2002,CHA
7/4/2002,NYA
7/4/2002,OAK
7/4/2002,SEA
7/4/2002,TEX
7/4/2002,ARI
7/4/2002,ATL
7/4/2002,CIN
7/4/2002,ANA
7/4/2002,PHI
7/4/2002,PIT
7/4/2002,SLN
9/2/2002,DET
9/2/2002,NYA
9/2/2002,OAK
9/2/2002,SEA
9/2/2002,TEX
9/2/2002,TOR
9/2/2002,ARI
9/2/2002,ATL
9/2/2002,CHN
9/2/2002,CHN
9/2/2002,MON
9/2/2002,SDN
9/2/2002,SLN
3/30/2003,ANA
3/31/2003,BAL
3/31/2003,DET
3/31/2003,KCA
3/31/2003,TBA
3/31/2003,TOR
3/31/2003,ARI
3/31/2003,ATL
3/31/2003,CIN
3/31/2003,ANA
3/31/2003,NYN
3/31/2003,SDN
3/31/2003,SLN
4/1/2003,OAK
4/1/2003,HOU
4/4/2003,CHA
